rankx   flowid   timex
100000000   0   1940
10000000   2   2900
50000000   1   3860
99999999   0   5860
9999999   2   6820
49999999   1   7780
99999999   0   28900
9999999   2   40900
49999999   1   52900
99998619   0   64900
9998619   2   76900
49998619   1   88900
99997239   0   100900
9997239   2   112900
49997239   1   124900
99995859   0   136900
9995859   2   148900
49995859   1   160900
99994479   0   172900
9994479   2   184900
49994479   1   196900
99993099   0   208900
9993099   2   220900
49993099   1   232900
99991719   0   244900
9991719   2   256900
49991719   1   268900
99990339   0   280900
9990339   2   292900
49990339   1   304900
99988959   0   316900
9988959   2   328900
49988959   1   340900
99987579   0   352900
9987579   2   364900
49987579   1   376900
99986199   0   388900
9986199   2   400900
49986199   1   412900
99984819   0   424900
9984819   2   436900
49984819   1   448900
99983439   0   460900
9983439   2   472900
49983439   1   484900
99982059   0   496900
9982059   2   508900
49982059   1   520900
99980679   0   532900
9980679   2   544900
49980679   1   556900
99979299   0   568900
9979299   2   580900
49979299   1   592900
99977919   0   604900
9977919   2   616900
49977919   1   628900
99976539   0   640900
9976539   2   652900
49976539   1   664900
99975159   0   676900
9975159   2   688900
49975159   1   700900
99973779   0   712900
9973779   2   724900
49973779   1   736900
99972399   0   748900
9972399   2   760900
49972399   1   772900
99971019   0   784900
9971019   2   796900
49971019   1   808900
99969639   0   820900
9969639   2   832900
49969639   1   844900
99968259   0   856900
9968259   2   868900
49968259   1   880900
99966879   0   892900
9966879   2   904900
49966879   1   916900
99965499   0   928900
9965499   2   940900
49965499   1   952900
99964119   0   964900
9964119   2   976900
49964119   1   988900
99962739   0   1000900
9962739   2   1012900
49962739   1   1024900
99961359   0   1036900
9961359   2   1048900
49961359   1   1060900
99959979   0   1072900
9959979   2   1084900
49959979   1   1096900
99958599   0   1108900
9958599   2   1120900
49958599   1   1132900
99957219   0   1144900
9957219   2   1156900
49957219   1   1168900
99955839   0   1180900
9955839   2   1192900
49955839   1   1204900
99954459   0   1216900
9954459   2   1228900
49954459   1   1240900
99953079   0   1252900
9953079   2   1264900
49953079   1   1276900
99951699   0   1288900
9951699   2   1300900
49951699   1   1312900
99950319   0   1324900
9950319   2   1336900
49950319   1   1348900
99948939   0   1360900
9948939   2   1372900
49948939   1   1384900
99947559   0   1396900
9947559   2   1408900
49947559   1   1420900
99946179   0   1432900
9946179   2   1444900
49946179   1   1456900
99944799   0   1468900
9944799   2   1480900
49944799   1   1492900
99943419   0   1504900
9943419   2   1516900
49943419   1   1528900
99942039   0   1540900
9942039   2   1552900
49942039   1   1564900
99940659   0   1576900
9940659   2   1588900
49940659   1   1600900
99939279   0   1612900
9939279   2   1624900
49939279   1   1636900
99937899   0   1648900
9937899   2   1660900
49937899   1   1672900
99936519   0   1684900
9936519   2   1696900
49936519   1   1708900
99935139   0   1720900
9935139   2   1732900
49935139   1   1744900
99933759   0   1756900
9933759   2   1768900
49933759   1   1780900
99932379   0   1792900
9932379   2   1804900
49932379   1   1816900
99930999   0   1828900
9930999   2   1840900
